sample_id,mechanism,generalization_group,baseline,mean_rgb,spatial_std,dark_pixel_fraction,saturated_pixel_fraction,temporal_frame_mae,early_mae_vs_original,late_mae_vs_original,quality_collapse,video_path
eval_powder_impact_unseen_seen_02,powder_impact,unseen_seen,t2vunlearning_adapted,113.8489,54.5450,0.002025,0.000046,3.4293,21.8110,44.3737,false,outputs/protocol_v1/eval_t2vunlearning_adapted_ckpt100/powder_impact/videos/eval_powder_impact_unseen_seen_02.mp4
eval_powder_impact_unseen_seen_02,powder_impact,unseen_seen,videoeraser_official,107.5245,59.7321,0.108838,0.000000,8.1305,33.3759,63.9671,false,outputs/protocol_v1/videoeraser_official/powder_impact/videos/eval_powder_impact_unseen_seen_02.mp4
eval_powder_impact_unseen_seen_03,powder_impact,unseen_seen,original,173.9059,71.2291,0.063029,0.005800,2.3147,0.0000,0.0000,false,outputs/protocol_v1/eval_cogvideox_original/powder_impact/videos/eval_powder_impact_unseen_seen_03.mp4
eval_powder_impact_unseen_seen_03,powder_impact,unseen_seen,negative_prompt,164.5779,87.3483,0.135672,0.015393,2.4685,26.8375,31.7435,false,outputs/protocol_v1/eval_cogvideox_negative_prompt/powder_impact/videos/eval_powder_impact_unseen_seen_03.mp4
eval_powder_impact_unseen_seen_03,powder_impact,unseen_seen,t2vunlearning_adapted,145.7692,74.8258,0.111882,0.000262,2.8840,38.3460,43.2458,false,outputs/protocol_v1/eval_t2vunlearning_adapted_ckpt100/powder_impact/videos/eval_powder_impact_unseen_seen_03.mp4
eval_powder_impact_unseen_seen_03,powder_impact,unseen_seen,videoeraser_official,165.1675,81.3671,0.109322,0.210210,3.7830,43.7749,58.1904,false,outputs/protocol_v1/videoeraser_official/powder_impact/videos/eval_powder_impact_unseen_seen_03.mp4
eval_powder_impact_unseen_seen_04,powder_impact,unseen_seen,original,168.9981,79.3271,0.099680,0.000927,2.5183,0.0000,0.0000,false,outputs/protocol_v1/eval_cogvideox_original/powder_impact/videos/eval_powder_impact_unseen_seen_04.mp4
eval_powder_impact_unseen_seen_04,powder_impact,unseen_seen,negative_prompt,150.7335,80.5113,0.131286,0.002753,3.1725,22.5662,35.8028,false,outputs/protocol_v1/eval_cogvideox_negative_prompt/powder_impact/videos/eval_powder_impact_unseen_seen_04.mp4
eval_powder_impact_unseen_seen_04,powder_impact,unseen_seen,t2vunlearning_adapted,142.5460,64.8678,0.088714,0.000003,2.6924,37.6817,48.0412,false,outputs/protocol_v1/eval_t2vunlearning_adapted_ckpt100/powder_impact/videos/eval_powder_impact_unseen_seen_04.mp4
eval_powder_impact_unseen_seen_04,powder_impact,unseen_seen,videoeraser_official,173.2119,80.5391,0.104592,0.202909,3.7638,31.8196,41.7610,false,outputs/protocol_v1/videoeraser_official/powder_impact/videos/eval_powder_impact_unseen_seen_04.mp4
eval_powder_impact_seen_unseen_00,powder_impact,seen_unseen,original,175.6749,89.1524,0.143181,0.137098,1.4247,0.0000,0.0000,false,outputs/protocol_v1/eval_cogvideox_original/powder_impact/videos/eval_powder_impact_seen_unseen_00.mp4
eval_powder_impact_seen_unseen_00,powder_impact,seen_unseen,negative_prompt,169.4936,88.3921,0.144817,0.139707,3.4153,15.4627,30.6842,false,outputs/protocol_v1/eval_cogvideox_negative_prompt/powder_impact/videos/eval_powder_impact_seen_unseen_00.mp4
eval_powder_impact_seen_unseen_00,powder_impact,seen_unseen,t2vunlearning_adapted,150.0399,58.1711,0.010313,0.000000,3.3056,44.7738,56.9552,false,outputs/protocol_v1/eval_t2vunlearning_adapted_ckpt100/powder_impact/videos/eval_powder_impact_seen_unseen_00.mp4
eval_powder_impact_seen_unseen_00,powder_impact,seen_unseen,videoeraser_official,157.9661,90.6699,0.170316,0.155608,4.7935,44.6698,66.6711,false,outputs/protocol_v1/videoeraser_official/powder_impact/videos/eval_powder_impact_seen_unseen_00.mp4
eval_powder_impact_seen_unseen_01,powder_impact,seen_unseen,original,114.8062,70.1570,0.060084,0.081989,1.1957,0.0000,0.0000,false,outputs/protocol_v1/eval_cogvideox_original/powder_impact/videos/eval_powder_impact_seen_unseen_01.mp4
eval_powder_impact_seen_unseen_01,powder_impact,seen_unseen,negative_prompt,90.3883,69.2869,0.083570,0.048425,1.0862,34.0642,36.5363,false,outputs/protocol_v1/eval_cogvideox_negative_prompt/powder_impact/videos/eval_powder_impact_seen_unseen_01.mp4
eval_powder_impact_seen_unseen_01,powder_impact,seen_unseen,t2vunlearning_adapted,105.6583,61.6544,0.052823,0.001248,1.4342,20.3193,22.3116,false,outputs/protocol_v1/eval_t2vunlearning_adapted_ckpt100/powder_impact/videos/eval_powder_impact_seen_unseen_01.mp4
eval_powder_impact_seen_unseen_01,powder_impact,seen_unseen,videoeraser_official,88.2341,87.2604,0.228779,0.151654,1.1696,73.4825,78.0935,false,outputs/protocol_v1/videoeraser_official/powder_impact/videos/eval_powder_impact_seen_unseen_01.mp4
eval_powder_impact_seen_unseen_02,powder_impact,seen_unseen,original,181.3630,83.9636,0.116722,0.139189,1.1465,0.0000,0.0000,false,outputs/protocol_v1/eval_cogvideox_original/powder_impact/videos/eval_powder_impact_seen_unseen_02.mp4
eval_powder_impact_seen_unseen_02,powder_impact,seen_unseen,negative_prompt,164.6538,86.9831,0.128879,0.076489,2.2659,28.3136,36.5182,false,outputs/protocol_v1/eval_cogvideox_negative_prompt/powder_impact/videos/eval_powder_impact_seen_unseen_02.mp4
eval_powder_impact_seen_unseen_02,powder_impact,seen_unseen,t2vunlearning_adapted,153.6915,57.2208,0.002434,0.000000,3.2156,45.1150,55.7215,false,outputs/protocol_v1/eval_t2vunlearning_adapted_ckpt100/powder_impact/videos/eval_powder_impact_seen_unseen_02.mp4
eval_powder_impact_seen_unseen_02,powder_impact,seen_unseen,videoeraser_official,181.6295,85.8173,0.129189,0.300975,3.0175,40.1778,58.5556,false,outputs/protocol_v1/videoeraser_official/powder_impact/videos/eval_powder_impact_seen_unseen_02.mp4
eval_powder_impact_seen_unseen_03,powder_impact,seen_unseen,original,114.6255,65.3002,0.037615,0.000175,1.3474,0.0000,0.0000,false,outputs/protocol_v1/eval_cogvideox_original/powder_impact/videos/eval_powder_impact_seen_unseen_03.mp4
eval_powder_impact_seen_unseen_03,powder_impact,seen_unseen,negative_prompt,96.5774,68.8911,0.022221,0.076254,1.1789,37.9282,38.5529,false,outputs/protocol_v1/eval_cogvideox_negative_prompt/powder_impact/videos/eval_powder_impact_seen_unseen_03.mp4
eval_powder_impact_seen_unseen_03,powder_impact,seen_unseen,t2vunlearning_adapted,101.7092,55.0989,0.028339,0.000000,0.8806,19.9491,20.4226,false,outputs/protocol_v1/eval_t2vunlearning_adapted_ckpt100/powder_impact/videos/eval_powder_impact_seen_unseen_03.mp4
eval_powder_impact_seen_unseen_03,powder_impact,seen_unseen,videoeraser_official,77.0692,86.5044,0.338239,0.143711,0.9230,80.9027,82.2193,false,outputs/protocol_v1/videoeraser_official/powder_impact/videos/eval_powder_impact_seen_unseen_03.mp4
eval_powder_impact_seen_unseen_04,powder_impact,seen_unseen,original,172.0431,90.9172,0.186388,0.011082,0.8306,0.0000,0.0000,false,outputs/protocol_v1/eval_cogvideox_original/powder_impact/videos/eval_powder_impact_seen_unseen_04.mp4
eval_powder_impact_seen_unseen_04,powder_impact,seen_unseen,negative_prompt,166.0165,90.3987,0.189287,0.002529,1.9483,13.6441,19.3130,false,outputs/protocol_v1/eval_cogvideox_negative_prompt/powder_impact/videos/eval_powder_impact_seen_unseen_04.mp4
eval_powder_impact_seen_unseen_04,powder_impact,seen_unseen,t2vunlearning_adapted,139.3887,65.9649,0.081852,0.000111,1.1588,47.3314,50.5249,false,outputs/protocol_v1/eval_t2vunlearning_adapted_ckpt100/powder_impact/videos/eval_powder_impact_seen_unseen_04.mp4
eval_powder_impact_seen_unseen_04,powder_impact,seen_unseen,videoeraser_official,163.2097,89.9333,0.179405,0.224257,3.9835,31.2555,50.1701,false,outputs/protocol_v1/videoeraser_official/powder_impact/videos/eval_powder_impact_seen_unseen_04.mp4
eval_powder_impact_unseen_unseen_00,powder_impact,unseen_unseen,original,172.1875,79.8015,0.091033,0.036476,1.8573,0.0000,0.0000,false,outputs/protocol_v1/eval_cogvideox_original/powder_impact/videos/eval_powder_impact_unseen_unseen_00.mp4
eval_powder_impact_unseen_unseen_00,powder_impact,unseen_unseen,negative_prompt,159.5527,83.4957,0.133681,0.031364,3.7637,10.3249,34.8354,false,outputs/protocol_v1/eval_cogvideox_negative_prompt/powder_impact/videos/eval_powder_impact_unseen_unseen_00.mp4
eval_powder_impact_unseen_unseen_00,powder_impact,unseen_unseen,t2vunlearning_adapted,144.2677,70.1386,0.110581,0.000086,3.4516,32.9279,47.7509,false,outputs/protocol_v1/eval_t2vunlearning_adapted_ckpt100/powder_impact/videos/eval_powder_impact_unseen_unseen_00.mp4
eval_powder_impact_unseen_unseen_00,powder_impact,unseen_unseen,videoeraser_official,180.3013,79.5820,0.123521,0.221628,3.9191,36.4629,59.6051,false,outputs/protocol_v1/videoeraser_official/powder_impact/videos/eval_powder_impact_unseen_unseen_00.mp4
eval_powder_impact_unseen_unseen_01,powder_impact,unseen_unseen,original,116.8104,69.8867,0.028999,0.007502,0.8748,0.0000,0.0000,false,outputs/protocol_v1/eval_cogvideox_original/powder_impact/videos/eval_powder_impact_unseen_unseen_01.mp4
eval_powder_impact_unseen_unseen_01,powder_impact,unseen_unseen,negative_prompt,104.9366,73.5148,0.043624,0.069823,0.7049,30.1451,31.7036,false,outputs/protocol_v1/eval_cogvideox_negative_prompt/powder_impact/videos/eval_powder_impact_unseen_unseen_01.mp4
eval_powder_impact_unseen_unseen_01,powder_impact,unseen_unseen,t2vunlearning_adapted,107.9406,51.7832,0.002113,0.000000,1.1018,27.1167,28.4385,false,outputs/protocol_v1/eval_t2vunlearning_adapted_ckpt100/powder_impact/videos/eval_powder_impact_unseen_unseen_01.mp4
eval_powder_impact_unseen_unseen_01,powder_impact,unseen_unseen,videoeraser_official,88.7799,77.1873,0.134934,0.132707,1.5628,57.3616,60.9142,false,outputs/protocol_v1/videoeraser_official/powder_impact/videos/eval_powder_impact_unseen_unseen_01.mp4
eval_powder_impact_unseen_unseen_02,powder_impact,unseen_unseen,original,174.2636,78.6126,0.086315,0.003094,1.4039,0.0000,0.0000,false,outputs/protocol_v1/eval_cogvideox_original/powder_impact/videos/eval_powder_impact_unseen_unseen_02.mp4
eval_powder_impact_unseen_unseen_02,powder_impact,unseen_unseen,negative_prompt,167.3475,79.7035,0.126323,0.000161,1.7055,14.0773,19.6573,false,outputs/protocol_v1/eval_cogvideox_negative_prompt/powder_impact/videos/eval_powder_impact_unseen_unseen_02.mp4
eval_powder_impact_unseen_unseen_02,powder_impact,unseen_unseen,t2vunlearning_adapted,155.8401,54.8532,0.019906,0.000000,2.8510,41.8753,51.2791,false,outputs/protocol_v1/eval_t2vunlearning_adapted_ckpt100/powder_impact/videos/eval_powder_impact_unseen_unseen_02.mp4
eval_powder_impact_unseen_unseen_02,powder_impact,unseen_unseen,videoeraser_official,176.1243,80.7325,0.119299,0.171618,3.2754,38.7321,55.3343,false,outputs/protocol_v1/videoeraser_official/powder_impact/videos/eval_powder_impact_unseen_unseen_02.mp4
eval_powder_impact_unseen_unseen_03,powder_impact,unseen_unseen,original,112.7493,64.7996,0.011291,0.058516,1.3047,0.0000,0.0000,false,outputs/protocol_v1/eval_cogvideox_original/powder_impact/videos/eval_powder_impact_unseen_unseen_03.mp4
eval_powder_impact_unseen_unseen_03,powder_impact,unseen_unseen,negative_prompt,102.8012,71.7841,0.049658,0.061529,1.3457,25.8285,27.5088,false,outputs/protocol_v1/eval_cogvideox_negative_prompt/powder_impact/videos/eval_powder_impact_unseen_unseen_03.mp4
eval_powder_impact_unseen_unseen_03,powder_impact,unseen_unseen,t2vunlearning_adapted,100.8587,55.3270,0.005155,0.002368,1.3359,19.4647,20.2966,false,outputs/protocol_v1/eval_t2vunlearning_adapted_ckpt100/powder_impact/videos/eval_powder_impact_unseen_unseen_03.mp4
eval_powder_impact_unseen_unseen_03,powder_impact,unseen_unseen,videoeraser_official,87.0357,78.6319,0.125587,0.128668,1.8713,54.1837,55.7768,false,outputs/protocol_v1/videoeraser_official/powder_impact/videos/eval_powder_impact_unseen_unseen_03.mp4
eval_powder_impact_unseen_unseen_04,powder_impact,unseen_unseen,original,175.3344,86.1742,0.154978,0.028232,2.3070,0.0000,0.0000,false,outputs/protocol_v1/eval_cogvideox_original/powder_impact/videos/eval_powder_impact_unseen_unseen_04.mp4
eval_powder_impact_unseen_unseen_04,powder_impact,unseen_unseen,negative_prompt,161.3359,84.8774,0.135962,0.067137,3.3671,14.0160,31.0703,false,outputs/protocol_v1/eval_cogvideox_negative_prompt/powder_impact/videos/eval_powder_impact_unseen_unseen_04.mp4
eval_powder_impact_unseen_unseen_04,powder_impact,unseen_unseen,t2vunlearning_adapted,154.1897,52.6011,0.021573,0.000015,2.8975,48.9197,62.1644,false,outputs/protocol_v1/eval_t2vunlearning_adapted_ckpt100/powder_impact/videos/eval_powder_impact_unseen_unseen_04.mp4
eval_powder_impact_unseen_unseen_04,powder_impact,unseen_unseen,videoeraser_official,174.0579,81.4683,0.113111,0.203287,3.9596,25.3679,40.9403,false,outputs/protocol_v1/videoeraser_official/powder_impact/videos/eval_powder_impact_unseen_unseen_04.mp4
